# Русский = Карачаевский
хип-хоп = хип-хоп 
балет = балет 

 Религия (дополнение)
молитва = догу 
храм = храм 
священник = священник 
икона = икона 
крест = хач 
колокол = къонгуроу 
монастырь = монастырь 
пост = ораза 
проповедь = проповедь 
грех = гъунах 

 Философия
бытие = барлыкъ 
сознание = билим 
материя = материя 
дух = рух 
истина = чын 
ложь = жалгъан 
добро = яхшылыкъ 
зло = жаманлыкъ 
свобода = эркинлик 
судьба = тагъдыр 

 Психология
сознание = билим 
подсознание = билимсизлик 
память = эс 
мышление = ойлау 
восприятие = къабыл этме 
эмоция = эмоция 
стресс = стресс 
депрессия = депрессия 
мотивация = мотивация 
характер = характер 

 Социология
общество = джемагъат 
социальный = социальный 
группа = группа 
лидер = лидер 
власть = бийлик 
иерархия = иерархия 
традиция = салт 
культура = маданият 
цивилизация = цивилизация 
прогресс = алгъа бармакъ 

 Юриспруденция
закон = закон 
право = хакъ 
суд = суд 
адвокат = адвокат 
прокурор = прокурор 
свидетель = шагъат 
приговор = чечим 
наказание = джаза 
тюрьма = тюрме 
свобода = эркинлик 

 Экология
природа = табият 
окружающая среда = чол джашау 
загрязнение = кирлетме 
охрана = къоругъа 
заповедник = заповедник 
вымирание = ёлюм 
климат = климат 
глобальное потепление = глобал жылыу 
озоновый слой = озон къатлам 
парниковый эффект = жылы юй эффект 

 Мода и красота
косметика = косметика 
парфюм = парфюм 
макияж = макияж 
причёска = чач тутуу 
стиль = стиль 
модель = модель 
подиум = подиум 
показ = кёргюзтюу 
тренд = тренд 
гламур = гламур 

 Кухонная техника
холодильник = тоңдургъуч 
плита = печка 
микроволновка = микроволновка 
блендер = блендер 
миксер = миксер 
тостер = тостер 
кофеварка = кофеварка 
чайник = чайник 
мультиварка = мультиварка 
соковыжималка = сок чыгъаргъыч 

 Сад и огород
лопата = кюрек 
грабли = тырма 
лейка = лейка 
секатор = секатор 
саженец = саженец 
рассада = рассада 
урожай = тирим 
компост = компост 
парник = жылы юй 
тепличка = жылы юй 

 Домашние животные
попугай = папаган 
хомяк = хомяк 
морская свинка = дениз чочкъа 
черепаха = ташбака 
аквариум = аквариум 
корм = корм 
клетка = клетка 
поводок = джел 
ошейник = ошейник 
игрушка = оюнчакъ 

 Насекомые
бабочка = гёбелек 
муравей = къырмыжыкъ 
пчела = ары 
оса = сары ары 
шмель = шмель 
кузнечик = чегиртке 
сверчок = сверчок 
божья коровка = къызыл къанат 
комар = чибин 
мошка = мошка 

 Птицы
воробей = чыпчыкъ 
ворона = къаргъа 
сорока = сауусан 
голубь = кёгюрчюн 
сокол = лачин 
ястреб = къарчыгъа 
сова = укю 
аист = леклек 
цапля = къартан 
лебедь = къуу 

 Рыбы
щука = чортан 
сом = сом 
карп = карп 
окунь = албырь 
карась = къара чортан 
лещ = лещ 
судак = судак 
форель = форель 
лосось = лосось 
осётр = осётр 

 Деревья
берёза = кайын 
дуб = эмен 
сосна = нарт 
ель = нарт 
клён = клён 
липа = липа 
тополь = терек 
ива = тал 
ясень = ясень 
вяз = вяз 

 Цветы
роза = гюл 
т��льпан = тюльпан 
нарцисс = нарцисс 
лилия = лилия 
гвоздика = гвоздика 
ромашка = ромашка 
подсолнух = кюн батмаз 
орхидея = орхидея 
ландыш = ландыш 
сирень = сирень 

 Фрукты
персик = шафтоли 
абрикос = урюк 
слива = джерме 
черешня = чие 
вишня = чие 
крыжовник = къарагат 
смородина = къарагат 
малина = малина 
ежевика = ежевика 
клубника = клубника 

 Овощи
морковь = къызылча 
свёкла = свёкла 
редис = редис 
редиска = редиска 
кабачок = кабачок 
баклажан = баклажан 
тыква = къабукъ 
патиссон = патиссон 
брокколи = брокколи 
цветная капуста = цветная къырын 

 Злаки
пшеница = будай 
рожь = арпа 
ячмень = арпа 
овёс = сулу 
просо = тары 
гречиха = гречка 
рис = кюрч 
кукуруза = жуурма 
горох = нохут 
фасоль = фасоль 

 Орехи
грецкий = джангыл 
фундук = фундук 
миндаль = миндаль 
арахис = арахис 
кешью = кешью 
фисташки = фисташка 
кедровый = кедр 
бразильский = бразиль 
пекан = пекан 
макадамия = макадамия 

 Специи
тмин = тмин 
кориандр = кориандр 
базилик = базилик 
петрушка = петрушка 
укроп = укроп 
мята = мята 
мелисса = мелисса 
розмарин = розмарин 
тимьян = тимьян 
эстрагон = эстрагон 

 Напитки
сок = сок 
компот = компот 
морс = морс 
квас = квас 
лимонад = лимонад 
газировка = газировка 
минералка = минералка 
смузи = смузи 
коктейль = коктейль 
сбитень = сбитень 

 Молочные продукты
кефир = кефир 
ряженка = ряженка 
простокваша = гатыкъ 
сметана = къаймакъ 
творог = иримчик 
йогурт = йогурт 
сливки = къаймакъ 
сыворотка = сыворотка 
мороженое = мороженое 
сливочное масло = джау 

 Мясные продукты
колбаса = колбаса 
сосиски = сосиска 
сардельки = сарделька 
ветчина = ветчина 
бекон = бекон 
карбонад = карбонад 
грудинка = грудинка 
окорок = окорок 
рулька = рулька 
шпик = шпик 

 Рыбные продукты
икра = икра 
консервы = консерва 
пресервы = пресерва 
копчёная рыба = тютюнленнген балыкъ 
вяленая рыба = къуру балыкъ 
сушёная рыба = къуру балыкъ 
солёная рыба = тузланнган балыкъ 
маринованная рыба = маринадланнган балыкъ 
рыбный паштет = балыкъ паштет 
крабовые палочки = краб таякъча 

 Кондитерские изделия
печенье = печенье 
пряник = пряник 
кекс = кекс 
бисквит = бисквит 
рулет = рулет 
пирожное = пирожное 
зефир = зефир 
пастила = пастила 
мармелад = мармелад 
шоколад = шоколад 

 Выпечка
хлеб = этмек 
батон = батон 
булка = булка 
каравай = каравай 
лаваш = лаваш 
лепёшка = чёрек 
пирог = пирог 
пирожок = пирожок 
ватрушка = ватрушка 
бублик = бублик 

 Десерты
мороженое = мороженое 
пудинг = пудинг 
желе = желе 
мусс = мусс 
суфле = суфле 
чизкейк = чизкейк 
тирамису = тирамису 
панна-котта = панна-котта 
крем-брюле = крем-брюле 
профитроли = профитроли 

 Соусы
кетчуп = кетчуп 
майонез = майонез 
горчица = горчица 
хрен = хрен 
аджика = аджика 
соус = соус 
бешамель = бешамель 
тартар = тартар 
сацебели = сацебели 
чили = чили 

 Приправы
уксус = уксус 
лимонная кислота = лимон кислота 
желатин = желатин 
разрыхлитель = кёбейтгич 
дрожжи = дрожжи 
ванилин = ванилин 
корица = дарчын 
гвоздика = гвоздика 
лавровый лист = лавр джапыракъ 
перец = бурч 

 Кухонные принадлежности
сковорода = таба 
кастрюля = кастрюль 
сотейник = сотейник 
ковш = чомуч 
дуршлаг = дюршлаг 
сито = элек 
тёрка = тёрка 
нож = бичакъ 
разделочная доска = кесюучю такъта 
половник = чомуч 

 Столовые приборы
ложка = къашыкъ 
вилка = шайне 
нож = бичакъ 
чайная ложка = чай къашыкъ 
столовая ложка = аш къашыкъ 
десертная ложка = десерт къашыкъ 
ложечка для мороженого = мороженое къашыкъ 
щипцы = къысгъыч 
лопатка = лопатка 
половник = чомуч 

 Посуда
тарелка = табакъ 
чашка = чыны 
блюдце = блюдце 
кружка = кружка 
стакан = стакан 
рюмка = рюмка 
бокал = бокал 
графин = графин 
кувшин = кувшин
#### Природа и география  
 водопад = шаркъуу   
 вулкан = вулкан  
 пустыня = чёл  
 тайфун = тайфун  
 цунами = цунами  
 болото = мырды  
 оазис = оазис  
 скала = къая  
 пещера = орукъ  
 дюна = дюна  

#### Еда и напитки (дополнение)  
 халва = халва   
 пахлава = пахлава  
 шашлык = шашлык  
 плов = аш  
 люлякебаб = люлякебаб  
 кукурузная мука = жуурма ун  
 имбирь = имбирь  
 корица = дарчын  
 ваниль = ваниль  
 кардамон = кардамон  

#### Техника и инструменты  
 дрель = дрель   
 паяльник = паяльник  
 отвёртка = отвёртка  
 гаечный ключ = гаечный ключ  
 компрессор = компрессор  
 генератор = генератор  
 микросхема = микросхема  
 роутер = роутер  
 динамомашина = динамо  
 аккумулятор = аккумулятор  

#### Сельское хозяйство  
 жатва = орукъ  
 молотилка = урукъ  
 силос = силос  
 комбикорм = къош аш  
 навоз = тезек  
 парник = жылы юй  
 тракторист = тракторчу  
 чабан = чабан  
 подкова = нал  
 ярмо = боғана  

#### Медицина (углублённо)  
 бинт = бинт  
 шприц = шприц  
 дезинфекция = дезинфекция  
 вакцина = вакцина  
 анестезия = анестезия  
 перелом = сынуу  
 вывих = чыгъыу  
 ожог = кюйюу  
 инсульт = инсульт  
 гипертония = къан басым  

#### Религия и традиции  
 мечеть = мечит  
 мулла = мулла  
 имам = имам  
 намаз = намаз  
 курбанбайрам = курман  
 дуа = догу  
 талисман = тумар  
 обычай = адет  
 традиция = салт  
 благословение = алгъыш  

#### Военное дело  
 сабля = къылыч  
 кинжал = ханжар  
 лук (оружие) = жаа  
 стрела = окъ  
 кольчуга = къалчан  
 шлем = мисюрке  
 щит = къалкан  
 порох = барт  
 ружьё = мылтыкъ  
 танк = танк  

#### Музыка и искусство  
 гармонь = гармун  
 баян = баян  
 скрипка = скрипка  
 бубен = даппу  
 лезгинка = лезгинка  
 орнамент = орнамент  
 вышивка = тикме  
 ковроткачество = килемчилик  
 резьба по дереву = терек оюу  
 чеканка = чеканка  

#### Наука и образование  
 университет = университет  
 лаборатория = лаборатория  
 эксперимент = эксперимент  
 гипотеза = гипотеза  
 диссертация = диссертация  
 профессор = профессор  
 студент = студент  
 учебник = окъуу китап  
 лекция = лекция  
 семинар = семинар  

#### Спорт  
 футбол = футбол  
 баскетбол = баскетбол  
 борьба = кюреш  
 дзюдо = дзюдо  
 бокс = бокс  
 лыжи = лыжа  
 альпинизм = альпинизм  
 парашютный спорт = парашют спорт  
 шахматы = шахмат  
 велосипед = велосипед  

#### Транспорт  
 автобус = автобус  
 троллейбус = троллейбус  
 метро = метро  
 электричка = электричка  
 паром = паром  
 мост = кёпюр  
 светофор = светофор  
 вокзал = вокзал  
 тоннель = тоннель  
 развязка = развязка  
#### Природа и география
 рассвет = таң  
 закат = кюн батуу  
 гром = къарыу  
 молния = чагъын  
 землетрясение = джер титиреу  
 наводнение = суу басуу  
 засуха = къуруу  
 тайфун = тайфун  
 цунами = цунами  
 болото = мырды  

#### Еда и напитки
 халва = халва  
 пахлава = пахлава  
 шашлык = шашлык  
 плов = аш  
 люлякебаб = люлякебаб  
 кукурузная мука = жуурма ун  
 имбирь = имбирь  
 корица = дарчын  
 ваниль = ваниль  
 кардамон = кардамон  

#### Техника и инструменты
 дрель = дрель  
 паяльник = паяльник  
 отвёртка = отвёртка  
 гаечный ключ = гаечный ключ  
 компрессор = компрессор  
 генератор = генератор  
 микросхема = микросхема  
 роутер = роутер  
 динамомашина = динамо  
 аккумулятор = аккумулятор  

#### Сельское хозяйство
 жатва = орукъ  
 молотилка = урукъ  
 силос = силос  
 комбикорм = къош аш  
 навоз = тезек  
 парник = жылы юй  
 тракторист = тракторчу  
 чабан = чабан  
 подкова = нал  
 ярмо = боғана  

#### Медицина
 бинт = бинт  
 шприц = шприц  
 дезинфекция = дезинфекция  
 вакцина = вакцина  
 анестезия = анестезия  
 перелом = сынуу  
 вывих = чыгъыу  
 ожог = кюйюу  
 инсульт = инсульт  
 гипертония = къан басым  

#### Религия и традиции
 мечеть = мечит  
 мулла = мулла  
 имам = имам  
 намаз = намаз  
 курбанбайрам = курман  
 дуа = догу  
 талисман = тумар  
 обычай = адет  
 традиция = салт  
 благословение = алгъыш  

#### Военное дело
 сабля = къылыч  
 кинжал = ханжар  
 лук (оружие) = жаа  
 стрела = окъ  
 кольчуга = къалчан  
 шлем = мисюрке  
 щит = къалкан  
 порох = барт  
 ружьё = мылтыкъ  
 танк = танк  

#### Музыка и искусство
 гармонь = гармун  
 баян = баян  
 скрипка = скрипка  
 бубен = даппу  
 лезгинка = лезгинка  
 орнамент = орнамент  
 вышивка = тикме  
 ковроткачество = килемчилик  
 резьба по дереву = терек оюу  
 чеканка = чеканка  

#### Наука и образование
 университет = университет  
 лаборатория = лаборатория  
 эксперимент = эксперимент  
 гипотеза = гипотеза  
 диссертация = диссертация  
 профессор = профессор  
 студент = студент  
 учебник = окъуу китап  
 лекция = лекция  
 семинар = семинар  

#### Спорт
 футбол = футбол  
 баскетбол = баскетбол  
 борьба = кюреш  
 дзюдо = дзюдо  
 бокс = бокс  
 лыжи = лыжа  
 альпинизм = альпинизм  
 парашютный спорт = парашют спорт  
 шахматы = шахмат  
 велосипед = велосипед  

#### Транспорт
 автобус = автобус  
 троллейбус = троллейбус  
 метро = метро  
 электричка = электричка  
 паром = паром  
 мост = кёпюр  
 светофор = светофор  
 вокзал = вокзал  
 тоннель = тоннель  
1. Как дела? = Къалайса?  
2. Что нового? = Джангы не барды?  
3. Давай встретимся = Келечик, кёрюшюбюз  
4. Я тебя люблю = Мен сени сюеме  
5. Сколько стоит? = Неча турад?  
6. Где туалет? = Ауз юй къайда?  
7. Я не понимаю = Мен тюшюнмейме  
8. Повтори, пожалуйста = Текрар этигиз  
9. Мне нужна помощь = Ма болушукъ керек  
10. Я голоден = Мен ачман  
11. Я хочу пить = Мен суусадым  
12. До свидания = Хош болугъуз  
13. Спасибо = Сау бол  
14. Пожалуйста = Хош  
15. Извините = Кечиригиз  
16. Как тебя зовут? = Атынг ким?  
17. Меня зовут... = Мени атым...  
18. Откуда ты? = Сен къайданса?  
19. Где ты живешь? = Сен къайда джашайса?  
20. Сколько тебе лет? = Сен неча джылса?  
21. У меня все хорошо = Мени барым яхшы  
22. У меня проблемы = Мени проблемаларым барды  
23. Я устал = Мен чалдым  
24. Я счастлив = Мен бахтылым  
25. Мне грустно = Мен къайгъылым  
26. Я спешу = Мен ашыгъаман  
27. Подожди минуту = Бир минут кюте тур  
28. Да = Хонш  
29. Нет = Джокъ  
30. Может быть = Боллукъ  

### Еда и кухня 
31. Хлеб = Этмек  
32. Суп = Шорпа  
33. Мясо = Эт  
34. Рыба = Балыкъ  
35. Овощи = Джемишле  
36. Фрукты = Жемишле  
37. Молоко = Сют  
38. Сыр = Бышлакъ  
39. Чай = Чай  
40. Кофе = Кофе  
41. Сахар = Шекер  
42. Соль = Туз  
43. Перец = Бурч  
44. Масло = Джау  
45. Яйцо = Жумуртха  
46. Рис = Кюрч  
47. Картофель = Картоп  
48. Лук = Сохан  
49. Чеснок = Сарымсах  
50. Помидор = Помидор  

### Семья и отношения 
51. Отец = Ата  
52. Мать = Ана  
53. Брат = Къарнаш  
54. Сестра = Эгеч  
55. Сын = Улан  
56. Дочь = Къыз  
57. Друг = Дос  
58. Подруга = Дош  
59. Муж = Эр  
60. Жена = Тишир  
61. Дедушка = Эрке  
62. Бабушка = Эбке  
63. Дядя = Амай  
64. Тетя = Апай  
65. Ребенок = Сабий  
66. Сосед = Къошнаш  
67. Гость = Къонакъ  
68. Коллега = Ишдеш  
69. Знакомый = Таныш  
70. Незнакомец = Танышсыз  

### Дом и быт 
71. Дом = Юй  
72. Комната = Бёлюм  
73. Кухня = Ашхана  
74. Спальня = Уйукълаучу  
75. Ванная = Джауун юй  
76. Окно = Терезе  
77. Дверь = Эшик  
78. Стол = Стол  
79. Стул = Орун  
80. Кровать = Тёшек  
81. Шкаф = Шкаф  
82. Зеркало = Кюзгю  
83. Подушка = Ястыкъ  
84. Одеяло = Юргъан  
85. Полотенце = Аякъ къол  
86. Мыло = Сабын  
87. Щетка = Чотка  
88. Ведро = Челек  
89. Метла = Сыпыргъыч  
90. Ковер = Килем  

### Одежда и аксессуары 
91. Рубашка = Кёлек  
92. Штаны = Ыштан  
93. Платье = Кёйлек  
94. Куртка = Къаптал  
95. Пальто = Тон  
96. Шапка = Бёрк  
97. Обувь = Башмакъ  
98. Носки = Чорап  
99. Перчатки = Колчакъ  
100. Ремень = Къайыш  

### Природа и погода 
101. Солнце = Кюн  
102. Луна = Ай  
103. Звезда = Жулдуз  
104. Небо = Кёк  
105. Облако = Булут  
106. Дождь = Джангур  
107. Снег = Къар  
108. Ветер = Джел  
109. Гроза = Къарыу  
110. Радуга = Эмеген  
111. Река = Черек  
112. Озеро = Кёл  
113. Море = Денгиз  
114. Гора = Тау  
115. Лес = Орман  
116. Цветок = Чечек  
117. Дерево = Терек  
118. Трава = От  
119. Камень = Таш  
120. Песок = Къум  

### Животные 
121. Собака = Ит  
122. Кошка = Киштик  
123. Корова = Сигир  
124. Лошадь = Ат  
125. Овца = Къой  
126. Коза = Эчки  
127. Волк = Бёрю  
128. Лиса = Тюлкю  
129. Медведь = Аюу  
130. Птица = Чыпчыкъ  
131. Орел = Къара къуш  
132. Рыба = Балыкъ  
133. Змея = Джылан  
134. Пчела = Ары  
135. Муха = Чыбын  
136. Бабочка = Гёбелек  
137. Муравей = Къырмыжыкъ  
138. Жук = Къоьн  
139. Лягушка = Бака  
140. Черепаха = Ташбака  

### Транспорт 
141. Автомобиль = Автомобиль  
142. Автобус = Автобус  
143. Поезд = Поезд  
144. Самолет = Самолёт  
145. Велосипед = Велосипед  
146. Мотоцикл = Мотоцикл  
147. Лодка = Къайыкъ  
148. Корабль = Кеме  
149. Такси = Такси  
150. Дорога = Джол  

### Время и даты 
151. Время = Заман  
152. Час = Сагъат  
153. Минута = Минут  
154. Секунда = Секунд  
155. День = Кюн  
156. Ночь = Тюн  
157. Утро = Эртен  
158. Вечер = Кеч  
159. Неделя = Жума  
160. Месяц = Ай  
161. Год = Джыл  
162. Вчера = Тюнегей  
163. Сегодня = Бюгюн  
164. Завтра = Эртен  
165. Понедельник = Баш кюн  
166. Вторник = Гюрге кюн  
167. Среда = Орта кюн  
168. Четверг = Барас кюн  
169. Пятница = Жума кюн  
170. Суббота = Шемби кюн  
171. Воскресенье = Ыйых кюн  

### Цвета 
172. Белый = Акъ  
173. Черный = Къара  
174. Красный = Къызыл  
175. Синий = Кёк  
176. Зеленый = Джашил  
177. Желтый = Сары  
178. Оранжевый = Къызгъылт сары  
179. Фиолетовый = Милтил  
180. Розовый = Гюлгюн  
181. Коричневый = Къонур  
182. Серый = Боз  

### Числа 
183. Один = Бир  
184. Два = Эки  
185. Три = Юч  
186. Четыре = Тёрт  
187. Пять = Беш  
188. Шесть = Алты  
189. Семь = Джети  
190. Восемь = Сегиз  
191. Девять = Тогъуз  
192. Десять = Он  
193. Двадцать = Джыйырма  
194. Тридцать = Отуз  
195. Сорок = Къыркъ  
196. Пятьдесят = Элли  
197. Сто = Джюз  
198. Тысяча = Минг  
199. Миллион = Миллион  
200. Половина = Джарым  

### Глаголы 
201. Говорить = Айтмакъ  
202. Слушать = Тынгыларгъа  
203. Смотреть = Кёрюрге  
204. Читать = Окъургъа  
205. Писать = Джазаргъа  
206. Идти = Бармакъ  
207. Бежать = Чабыргъа  
208. Стоять = Турмакъ  
209. Сидеть = Олтурмакъ  
210. Лежать = Джатмакъ  
211. Спать = Уйукъларгъа  
212. Есть = Ашаргъа  
213. Пить = Ичерге  
214. Давать = Берирге  
215. Брать = Алыргъа  
216. Купить = Сатын алмакъ  
217. Продавать = Сатаргъа  
218. Открывать = Ачаргъа  
219. Закрывать = Джабаргъа  
220. Начинать = Башларгъа  
221. Заканчивать = Бошаргъа  
222. Жить = Джашамакъ  
223. Умирать = Ёлюрге  
224. Рождаться = Тууаргъа  
225. Учиться = Окъургъа  
226. Учить = Окъутургъа  
227. Работать = Ишлерге  
228. Играть = Ойнаргъа  
229. Петь = Джырларгъа  
230. Танцевать = Тюзюрге  

### Прилагательные 
231. Хороший = Игы  
232. Плохой = Жаман  
233. Большой = Уллу  
234. Маленький = Гитче  
235. Новый = Джангы  
236. Старый = Эски  
237. Молодой = Джаш  
238. Сильный = Кючлю  
239. Слабый = Алсыз  
240. Горячий = Ыссы  
241. Холодный = Соуукъ  
242. Быстрый = Тез  
243. Медленный = Аста  
244. Дорогой = Бахалы  
245. Дешевый = Арзан  
246. Трудный = Къыйын  
247. Легкий = Жеңил  
248. Красивый = Сулуу  
249. Уродливый = Суукъ  
250. Чистый = Таза  

### Наречия 
251. Очень = Абдан  
252. Много = Кёп  
253. Мало = Аз  
254. Быстро = Тез  
255. Медленно = Аста  
256. Хорошо = Яхшы  
257. Плохо = Жаман  
258. Вверху = Ёзенде  
259. Внизу = Тюбюнде  
260. Впереди = Аллында  
261. Сзади = Артында  
262. Близко = Джууукъ  
263. Далеко = Алыс  
264. Внутри = Ичинде  
265. Снаружи = Тышында  
266. Сейчас = Шимди  
267. Потом = Сонра  
268. Всегда = Дайыма  
269. Никогда = Хеч заман  
270. Иногда = Кёбюсюне  

### Эмоции и чувства 
271. Радость = Къууанч  
272. Грусть = Къайгъы  
273. Любовь = Сююмлюк  
274. Ненависть = Жек кёрюлюк  
275. Страх = Къоркъуу  
276. Удивление = Таңыу  
277. Стыд = Уят  
278. Гордость = Махтанчлыкъ  
279. Счастье = Бахт  
280. Горе = Къайгъы  

### Профессии 
281. Учитель = Окъутуучу  
282. Врач = Врач  
283. Инженер = Инженер  
284. Повар = Ашчы  
285. Фермер = Фермер  
286. Строитель = Къуруучу  
287. Водитель = Айдоочу  
288. Продавец = Сатуучу  
289. Полицейский = Милиция
 развязка = развязка
 Я иду домой = Мен юйге барама

Ты пьёшь чай? = Сен чай ичесе? 

Он работает в поле = Ол талада ишлей

Мой отец пасёт овец = Мени атам къойланы кютед

Сестра готовит обед = Эгеч тюш аш этие

  Сегодня идёт сильный дождь = Бюгюн къатъы джангур джауа

  В горах лежит снег = Таулада къар джата.  
 
Дайте мне хлеб и сыр = Менге этмек бла бышлакъ беригиз.  

Этот мёд очень сладкий = Бу бал бек татлыды

Автобус приходит в семь часов = Автобус джети сагъатда келе

 Мне нужно к врачу = менге врач керекди
 
У меня болит голова = Мени башым аууруйду

Мы идём в мечеть = Биз мечитге барабыз

Трактор вспахивает поле = Трактор таланы сюрюе

 У меня новый компьютер = Менде джангы компьютер бар.  
 
 Ребёнок смеётся = Сабий кюле 
 
 Почему ты грустишь? = Неге сен къайгъылыса?
 
Завтра будет солнечно = Эртен кюнлю боллукъ.  

Когда ты придёшь, мы начнём ужинать = Къачан сен келсе, биз кеч ашны башлабыз. 

    если дождь прекратиться, пойдем гулять = джангур тохтаса айланыргъа барабыз
    
   Сен чай ичесе? (Ты чай пьёшь?).
   
   чай пьешь? = чай ичемисе?
   
   ты чай будешь? = сен чай ичерик?
   
ты идешь = бараса

  я иду = барама
  
  Я не знаю = Мен билмейме
